,Abha,Abqiq,Arar,Baha,Buraidah,Dammam,Hail,Hofuf,Hufr Al-Baten,Jazan,Jeddah,Kharj,Khobar,Madinah,Majma'ah,Makkah,Najran,Qurayat,Riyadh,Sakaka,Tabuk,Taif,Turaif
Abha,0.0,1370.0,2079.0,331.0,1378.0,1446.0,1529.0,1422.0,1560.0,192.0,649.0,938.0,1316.0,1068.0,1201.0,661.0,257.0,2083.0,1016.0,1959.0,1679.0,498.0,2347.0
Abqiq,1370.0,0.0,1113.0,1416.0,705.0,80.0,972.0,63.0,545.0,1564.0,1281.0,319.0,63.0,1235.0,529.0,1247.0,1298.0,1502.0,332.0,1272.0,1679.0,1114.0,1352.0
Arar,2079.0,1113.0,0.0,1784.0,817.0,1048.0,1067.0,1139.0,558.0,2223.0,1493.0,1154.0,1070.0,1088.0,878.0,1505.0,2046.0,390.0,1048.0,159.0,633.0,1615.0,242.0
Baha,331.0,1416.0,1784.0,0.0,1205.0,1401.0,1211.0,1337.0,1468.0,524.0,379.0,1072.0,1464.0,712.0,1043.0,336.0,610.0,1788.0,985.0,1630.0,1466.0,248.0,2014.0
Buraidah,1378.0,705.0,817.0,1205.0,0.0,756.0,305.0,768.0,485.0,1418.0,916.0,440.0,778.0,531.0,158.0,926.0,1336.0,1344.0,362.0,1113.0,974.0,952.0,1197.0
Dammam,1446.0,80.0,1048.0,1401.0,756.0,0.0,1053.0,172.0,489.0,1639.0,1370.0,406.0,20.0,1287.0,589.0,1292.0,1373.0,1438.0,389.0,1207.0,1681.0,1198.0,1289.0
Hail,1529.0,972.0,1067.0,1211.0,305.0,1053.0,0.0,946.0,750.0,1766.0,1032.0,747.0,1043.0,461.0,463.0,888.0,1641.0,1071.0,627.0,574.0,657.0,988.0,1218.0
Hofuf,1422.0,63.0,1139.0,1337.0,768.0,172.0,946.0,0.0,580.0,1651.0,1287.0,384.0,180.0,1189.0,483.0,1177.0,1242.0,1528.0,297.0,1431.0,1609.0,1089.0,1463.0
Hufr Al-Baten,1560.0,545.0,558.0,1468.0,485.0,489.0,750.0,580.0,0.0,1754.0,1256.0,596.0,511.0,926.0,303.0,1341.0,1488.0,948.0,489.0,717.0,1192.0,265.0,801.0
Jazan,192.0,1564.0,2223.0,524.0,1418.0,1639.0,1766.0,1651.0,1754.0,0.0,725.0,1323.0,2108.0,1155.0,1431.0,699.0,486.0,2227.0,1245.0,2064.0,1827.0,727.0,2374.0
Jeddah,649.0,1281.0,1493.0,379.0,916.0,1370.0,1032.0,1287.0,1256.0,725.0,0.0,1064.0,1382.0,410.0,1138.0,78.0,1024.0,1503.0,958.0,1339.0,1100.0,166.0,1560.0
Kharj,938.0,319.0,1154.0,1072.0,440.0,406.0,747.0,384.0,596.0,1323.0,1064.0,0.0,489.0,933.0,273.0,986.0,892.0,1323.0,78.0,1103.0,1416.0,898.0,1378.0
Khobar,1316.0,63.0,1070.0,1464.0,778.0,20.0,1043.0,180.0,511.0,2108.0,1382.0,489.0,0.0,1471.0,610.0,1274.0,1381.0,1479.0,416.0,1228.0,1698.0,1198.0,1313.0
Madinah,1068.0,1235.0,1088.0,712.0,531.0,1287.0,461.0,1189.0,926.0,1155.0,410.0,933.0,1471.0,0.0,675.0,433.0,1336.0,1076.0,855.0,918.0,690.0,527.0,1239.0
Majma'ah,1201.0,529.0,878.0,1043.0,158.0,589.0,463.0,483.0,303.0,1431.0,1138.0,273.0,610.0,675.0,0.0,875.0,1184.0,1373.0,186.0,1021.0,1078.0,794.0,1120.0
Makkah,661.0,1247.0,1505.0,336.0,926.0,1292.0,888.0,1177.0,1341.0,699.0,78.0,986.0,1274.0,433.0,875.0,0.0,945.0,1519.0,858.0,1347.0,1117.0,76.0,1665.0
Najran,257.0,1298.0,2046.0,610.0,1336.0,1373.0,1641.0,1242.0,1488.0,486.0,1024.0,892.0,1381.0,1336.0,1184.0,945.0,0.0,2479.0,1273.0,2182.0,2076.0,862.0,2289.0
Qurayat,2083.0,1502.0,390.0,1788.0,1344.0,1438.0,1071.0,1528.0,948.0,2227.0,1503.0,1323.0,1479.0,1076.0,1373.0,1519.0,2479.0,0.0,1437.0,368.0,621.0,1585.0,156.0
Riyadh,1016.0,332.0,1048.0,985.0,362.0,389.0,627.0,297.0,489.0,1245.0,958.0,78.0,416.0,855.0,186.0,858.0,1273.0,1437.0,0.0,1025.0,1310.0,792.0,1300.0
Sakaka,1959.0,1272.0,159.0,1630.0,1113.0,1207.0,574.0,1431.0,717.0,2064.0,1339.0,1103.0,1228.0,918.0,1021.0,1347.0,2182.0,368.0,1025.0,0.0,475.0,1456.0,401.0
Tabuk,1679.0,1679.0,633.0,1466.0,974.0,1681.0,657.0,1609.0,1192.0,1827.0,1100.0,1416.0,1698.0,690.0,1078.0,1117.0,2076.0,621.0,1310.0,475.0,0.0,1181.0,785.0
Taif,498.0,1114.0,1615.0,248.0,952.0,1198.0,988.0,1089.0,265.0,727.0,166.0,898.0,1198.0,527.0,794.0,76.0,862.0,1585.0,792.0,1456.0,1181.0,0.0,1766.0
Turaif,2347.0,1352.0,242.0,2014.0,1197.0,1289.0,1218.0,1463.0,801.0,2374.0,1560.0,1378.0,1313.0,1239.0,1120.0,1665.0,2289.0,156.0,1300.0,401.0,785.0,1766.0,0.0
