city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Riyadh,24.65,46.71,Saudi Arabia,SA,Ar Riyāḑ,primary,7237000,6694000
Jeddah,21.5428,39.1728,Saudi Arabia,SA,Makkah al Mukarramah,,4697000,4697000
Makkah,21.4225,39.8261,Saudi Arabia,SA,Makkah al Mukarramah,admin,2427924,2427924
Dammam,26.4333,50.1,Saudi Arabia,SA,Ash Sharqīyah,admin,1532326,1386671
Madinah,24.47,39.61,Saudi Arabia,SA,Al Madīnah al Munawwarah,admin,1411599,1411599
Khamīs Mushayţ,18.3,42.7333,Saudi Arabia,SA,‘Asīr,,1353000,535065
Tabuk,28.3972,36.5789,Saudi Arabia,SA,Tabūk,admin,886036,886036
Buraidah,26.3333,43.9667,Saudi Arabia,SA,Al Qaşīm,admin,467410,467410
Hufr Al-Baten,28.4342,45.9636,Saudi Arabia,SA,Ash Sharqīyah,,389993,389993
Al Jubayl,27,49.6667,Saudi Arabia,SA,Ash Sharqīyah,,378949,378949
Hail,27.5167,41.6833,Saudi Arabia,SA,Ḩā’il,admin,310897,310897
Yanbu‘,24.0883,38.0582,Saudi Arabia,SA,Al Madīnah al Munawwarah,,298675,298675
Najran,17.4917,44.1322,Saudi Arabia,SA,Najrān,admin,298288,298288
Kharj,24.1483,47.305,Saudi Arabia,SA,Ar Riyāḑ,,295462,295462
Al Qunfudhah,19.1264,41.0789,Saudi Arabia,SA,Makkah al Mukarramah,,272424,272424
‘Unayzah,26.084,43.994,Saudi Arabia,SA,Al Qaşīm,,250000,250000
Sakaka,29.9697,40.2,Saudi Arabia,SA,Al Jawf,admin,241669,150257
Abha,18.2167,42.5,Saudi Arabia,SA,‘Asīr,admin,236157,236157
Muḩāyil,18.5464,42.0489,Saudi Arabia,SA,‘Asīr,,228979,228979
Şabyā,17.149,42.6259,Saudi Arabia,SA,Jāzān,,228375,228375
Khobar,26.3,50.2167,Saudi Arabia,SA,Ash Sharqīyah,,219679,219679
Şāmitah,16.5972,42.9439,Saudi Arabia,SA,Jāzān,,201656,201656
Qurayat,31.3333,37.3333,Saudi Arabia,SA,Al Jawf,minor,167080,167080
Taif,21.4411,40.4975,Saudi Arabia,SA,Makkah al Mukarramah,,148151,148151
Dhahran,26.2667,50.15,Saudi Arabia,SA,Ash Sharqīyah,,138135,138135
Ar Rass,25.8667,43.5,Saudi Arabia,SA,Al Qaşīm,,133000,133000
Al Līth,20.15,40.2667,Saudi Arabia,SA,Makkah al Mukarramah,,128529,128529
Jazan,16.8892,42.5611,Saudi Arabia,SA,Jāzān,admin,127743,127743
Al Quway‘īyah,24.0464,45.2656,Saudi Arabia,SA,Ar Riyāḑ,,126161,126161
Qal‘at Bīshah,20,42.6,Saudi Arabia,SA,‘Asīr,,115537,86201
Ḩaraḑ,24.1456,49.0653,Saudi Arabia,SA,Ash Sharqīyah,,111214,111214
Al Aḩad al Masāriḩah,16.7097,42.955,Saudi Arabia,SA,Jāzān,,110710,110710
Al Majāridah,19.1279,41.926,Saudi Arabia,SA,‘Asīr,,103531,103531
Baha,20.0129,41.4677,Saudi Arabia,SA,Al Bāḩah,admin,95089,95089
Al Jumūm,21.6167,39.7,Saudi Arabia,SA,Makkah al Mukarramah,,92222,92222
Sharūrah,17.4833,47.1167,Saudi Arabia,SA,Najrān,,85977,85977
Al Midhnab,25.8601,44.2223,Saudi Arabia,SA,Al Qaşīm,,81052,81052
Sayhāt,26.475,50.0417,Saudi Arabia,SA,Ash Sharqīyah,,75794,75794
Ḑamad,17.1,42.7833,Saudi Arabia,SA,Jāzān,,71601,71601
Al Makhwāh,19.7833,41.4333,Saudi Arabia,SA,Al Bāḩah,,70664,70664
Az Zulfī,26.2833,44.8,Saudi Arabia,SA,Ar Riyāḑ,,69294,69294
